Sno,AOriginalL,BPridictedL,CommonAB,WordsV,A,B,C,CSverseA,CSAB,CSAC,Hamming,Recall,Precision,F1
88,heart wrapp curse         ,heart wrapp curse,heart curse wrapp,29,3,3,3,0.149071198,1,1,0,1,1,1
89,book Allah victory  faith believe       ,book Allah victory  faith believe,Allah believe victory faith book,55,5,5,5,0.613940614,1,1,0,1,1,1
90, sold  insolent  drawn wrath         ,sold  insolent  drawn wrath,wrath insolent drawn sold,59,4,4,4,0.472455591,1,1,0,1,1,1
91,believe prophet          ,believe prophet,prophet believe,58,2,2,2,0.33968311,1,1,0,1,1,1
92,Moses worship calf         ,Moses worship calf,worship Moses calf,21,3,3,3,0.3086067,1,1,0,1,1,1
93,covet hold firmly sinai disobey faithlessness       ,covenant hold firmly sinai disobey faithlessness,disobey sinai hold firmly faithlessness,70,6,6,5,0.366617788,0.833333333,0.816496581,0.16135,0.833333333,0.833333333,0.833333333
94,last home seek death          ,last home seek death,last seek home death,25,4,4,4,0.534522484,1,1,0,1,1,1
95,Allah  well-acquainted wrong doers         ,Allah  well-acquainted wrong doers,well-acquainted wrong Allah doers,27,4,4,4,0.316227766,1,0.707106781,0,1,1,1
96, long life punishment          ,long life punishment,long life punishment,52,3,3,3,0.346410162,1,1,0,1,1,1
97,enemy of Gabriel  brings down revelation        ,enemy of Gabriel  brings down revelation,down of revelation brings Gabriel enemy,33,6,6,6,0.387298335,1,0.707106781,0,1,1,1
98,enemy  Allah messenger angel        ,enemy  Allah messenger angel,enemy Allah angel messenger,25,4,4,4,0.5,1,1,0,1,1,1
99,manifest sign perverse          ,manifest sign perverse,perverse sign manifest,18,3,3,3,0.40824829,1,1,0,1,1,1
100,covet threw aside          ,covenant threw aside,aside threw,25,3,3,2,0.174077656,0.666666667,1,0.1326,0.666666667,0.666666667,0.666666667
101,messenger confirming books          ,messenger confirming books,books confirming messenger,42,3,3,3,0.264906471,1,1,0,1,1,1
102,recited trail  share  sold        ,recited  harmful  share,recited share,127,4,3,2,0.058925565,0.577350269,1,0.3946,0.5,0.666666667,0.571428571
103, guarded evil reward         ,guarded evil reward,guarded reward evil,24,3,3,3,0.577350269,1,1,0,1,1,1
104,raina unzurna ambiguous words         ,ambiguous words words of respect,words ambiguous,29,4,5,2,0.353553391,0.612372436,0.5,0.513,0.5,0.4,0.444444444
105,faith people          ,faith people,people faith,49,2,2,2,0.288675135,1,0.866025404,0,1,1,1
106,abrogate  forgotten Allah hath power         ,abrogate revealed  forgotten Allah hath power,abrogate Allah hath forgotten power,29,5,6,5,0.577350269,0.912870929,0.632455532,0,1,0.833333333,0.909090909
107,Allah is king patron          ,Allah is king patron,king patron Allah is,24,4,4,4,0.333333333,1,0.866025404,0,1,1,1
108,strayed           ,strayed,strayed,26,1,1,1,0.242535625,1,1,0,1,1,1
109,turn back Allah hath power          ,turn back Allah hath power,back Allah hath power turn,49,5,5,5,0.529150262,1,0.801783726,0,1,1,1
110,prayer charity          ,prayer charity,prayer charity,34,2,2,2,0.277350098,1,0.816496581,0,1,1,1
111,paradise proof          ,paradise proof,proof heaven,28,2,2,2,0.34299717,1,1,0,1,1,1
112,doer of good no fear grieve         ,doer of good no fear,fear good doer no of,32,6,5,5,0.48507125,0.866025404,1,0.1625,0.833333333,1,0.909090909
113,Jews Christians blame Allah judge       ,Jews Christians,Christians Jews,54,5,2,2,0.414039336,0.632455532,0.774596669,0.4973,0.4,1,0.571428571
114,cruel forbid worship disgrace         ,injustice forbid worship disgrace,worship forbid disgrace,62,4,4,3,0.2,0.75,1,0.2483,0.75,0.75,0.75
115, Allah pervading every where         ,Allah pervading every where,every Allah where pervading,22,4,4,4,0.40824829,1,1,0,1,1,1
116,son of GOD every thing  God         ,son of God everything,God son of,28,6,4,3,0.104828484,0.654653671,0,0.1686,0.5,0.75,0.6
117,originator create automatically          ,originator create by order,originator create,26,3,4,2,0,0.666666667,0.5,0.3352,0.666666667,0.5,0.571428571
118,speak hold firmly Faith         ,speak hold firmly Faith,firmly speak hold Faith,50,4,4,4,0.237170825,1,0.5,0,1,1,1
119,glade tiding warner question fire        ,glade tiding warner question fire,glade question tiding fire warner,31,5,5,5,0.325395687,1,1,0,1,1,1
120,Christians Jews unhappy religion  guidance       ,Jews Christians contentment  religion,religion Christians Jews,50,5,4,3,0.349215148,0.670820393,0.866025404,0.2364,0.6,0.75,0.666666667
121,book believe faith lose        ,book believe faith lose,lose book believe faith,32,4,4,4,0.416025147,1,1,0,1,1,1
122,children israel favour preffere        ,children israel favour preffere,children favour israel preffere,26,4,4,4,0.452267017,1,1,0,1,1,1
123, compansation Day of Judgment          ,day of judgement,of,32,4,3,1,0.107211253,0.40824829,1,0.2353,0.25,0.333333333,0.285714286
124,Ibraham test pass leader        ,Abraham test  Imam,test,46,4,3,1,0,0.288675135,1,0.50123,0.25,0.333333333,0.285714286
125,Kaaba piece tawaf itikaf        ,Kaaba place of worship Abraham  Ismail sanctify it,Kaaba,61,4,8,1,0,0.204124145,1,0.7462,0.25,0.125,0.166666667
126,Abraham city of peace fruit last day        ,Abraham city of peace fruit last day,city last of day peace Abraham fruit,58,7,7,7,0.379049022,1,1,0,1,1,1
127,Abraham Ismail foundation Kaba        ,Abraham ismail foundation Kaba,foundation Abraham Kaba,28,4,4,3,0.25819889,1,0.707106781,0,0.75,0.75,0.75
128,obedient progeny          ,obedient progeny,progeny obedient,44,2,2,2,0.119522861,1,1,0,1,1,1
129,messenger sanctify wise         ,messenger sanctify wise,sanctify wise messenger,36,3,3,3,0.420084025,1,1,0,1,1,1
130,folly soul          ,folly soul,folly soul,39,2,2,2,0.188982237,1,1,0,1,1,1
131,lord bow          ,lord bow,lord bow,25,2,2,2,0.707106781,1,1,0,1,1,1
132,Abraham sons religion islam         ,Abraham sons religion islam,sons Abraham islam religion,34,4,4,4,0.458831468,1,0.577350269,0,1,1,1
133,jacob worship          ,jacob worship,worship jacob,48,2,2,2,0.353553391,1,1,0,1,1,1
134,fruit of deeds           ,reap fruit merits,fruit,33,3,3,1,0.188982237,0.40824829,1,0.6333,0.333333333,0.333333333,0.333333333
135,Jews Christians oneness God        ,Jews Christians oneness God,God oneness Christians Jews,32,4,4,4,0.208514414,1,1,0,1,1,1
136,believe in Allah revelation          ,believe in Allah revelation,revelation Allah believe in,54,4,4,4,0.402015126,1,1,0,1,1,1
137,believe right path all hearing all knowing        ,believe right path all hearing all knowing,knowing hearing believe all right path,41,7,7,6,0.447213595,1,0.894427191,0,0.857142857,0.857142857,0.857142857
138,baptism of Allah           ,baptism of Allah,baptism Allah of,21,3,3,3,0.707106781,1,1,0,1,1,1
139,common lord dispute          ,dispute  Lord  responsible,dispute,38,3,3,1,0.420084025,0.666666667,1,0.3356,0.333333333,0.333333333,0.333333333
140,Allah knows better           ,Allah knows better,better Allah knows,47,3,3,3,0.384900179,1,1,0,1,1,1
141,reap fruit merits          ,reap fruit merits,fruit reap merits,33,3,3,3,0.46291005,1,0.707106781,0,1,1,1
142,fools  turn Qibla         ,fools  turn Qibla,fools turn Qibla,38,3,3,3,0.272165527,1,1,0,1,1,1
143,ummat witness merciful         ,ummat witness merciful,ummat witness merciful,89,3,3,3,0.237915476,1,1,0,1,1,1
144,turned face direction  sacred mosque         ,turned face direction  sacred Mosque,direction turned face sacred,67,5,5,4,0.387298335,1,1,0.039215686,0.8,0.8,0.8
145,people of book follow qibla          ,people of book follow qibla,follow of qibla people book,59,5,5,5,0.526685162,1,1,0,1,1,1
146,people of book feel Muhammad  conceal truth         ,people of book feel Muhammad  conceal truth,conceal Muhammad of feel people book truth,24,7,7,7,0.43643578,1,0.866025404,0,1,1,1
147,trust lord doubt         ,trust lord doubt,trust lord doubt,13,3,3,3,0.577350269,1,1,0,1,1,1
148,leed goodness Allah has power          ,leed good place Allah is powerful,leed Allah,37,5,6,2,0.4,0.447213595,1,0.2532,0.4,0.333333333,0.363636364
149,turn face  sacred Mosque          ,turn face  sacred Mosque,face sacred Mosque turn,32,4,4,4,0.5,1,1,0,1,1,1
150,turn face sacred Mosque favour         ,turn face sacred Mosque favour,favour Mosque face sacred turn,68,5,5,5,0.419058177,1,1,0,1,1,1
151,messenger favour scripture wisdom knowledge       ,messenger favour scripture wisdom knowledge,wisdom favour messenger scripture knowledge,38,5,5,5,0.559016994,1,0.447213595,0,1,1,1
152,remember me be greatful          ,remember me be greatful,me remember be greatful,18,4,4,4,0.577350269,1,0.866025404,0,1,1,1
153,help patient prayer persever        ,help patient prayer persever,persever patient prayer ,19,4,4,3,0.474341649,1,0.866025404,0,0.75,0.75,0.75
154,martyr live          ,martyr live,martyr live,25,2,2,2,0,1,1,0,1,1,1
155,test you fear hunger patient persevere       ,test you fear hunger patient persevere,fear hunger persevere test patient you,33,6,6,6,0.447213595,1,1,0,1,1,1
156,afflict calamity Allah we belong         ,afflict calamity Allah we belong,calamity Allah belong afflict we,17,5,5,5,0.612372436,1,0.707106781,0,1,1,1
157,blessing Allah Mercy         ,blessing Allah Mercy,Mercy Allah blessing,19,3,3,3,0.43643578,1,1,0,1,1,1
158,safa marva haj circumambulation  umrah      ,Safa marwa haj,haj,36,5,3,1,0.095346259,0.516397779,1,0.3132,0.2,0.333333333,0.25
159,conceal orders Allah curse          ,conceal orders curse,conceal orders curse,38,4,3,3,0.417028828,0.866025404,1,0.2541,0.75,1,0.857142857
160,repent  Merciful          ,repentance,,22,2,1,1,0.447213595,0,0.769800359,1,0.5,1,0.666666667
161,un believer  Allah curse  angels  mankind        ,reject faith curse  angels  mankind,angels mankind curse,21,6,5,3,0.492365964,0.547722558,0.707106781,0.1643,0.5,0.6,0.545454545
162,abide respite          ,abide respite,respite abide,16,2,2,2,0.577350269,1,1,0,1,1,1
163,oneness of  Allah gracious merciful         ,oneness of  Allah gracious merciful,oneness Allah gracious of merciful,16,5,5,5,0.707106781,1,1,0,1,1,1
164,heaven earth day night ship ocean sign of God     ,heaven earth day night ship ocean sign of God,night ocean sign of day God ship heaven earth,99,9,9,9,0.353553391,1,1,0,1,1,1
165,worship beside Allah penalty power belong to Allah         ,worship instead of Allah penalty,penalty worship Allah,59,8,5,3,0.637455258,0.666666667,0.769800359,0.6667,0.375,0.6,0.461538462
166,penalty relation cut off         ,followed penalty,penalty,27,4,2,1,0.144337567,0,0.577350269,0.7342,0.25,0.5,0.333333333
167,idol worshipper un follow chance         ,one more chance clear ourselves,chance,52,5,5,1,0.1,0.25819889,0.447213595,0.8342,0.2,0.2,0.2
168,eat permissible foot steps evil enemy        ,eat permissible foot steps evil enemy,permissible evil eat steps foot enemy,30,6,6,6,0.353553391,1,1,0,1,1,1
169,evil shameful misguide         ,evil shameful misguide,shameful evil misguide,23,3,3,3,0.365148372,1,1,0,1,1,1
170,follow Aallah way of fathers          ,Allah revealed follow fathers,follow fathers,33,5,4,2,0.43643578,0.5,0.707106781,0.2532,0.4,0.5,0.444444444
171,not believer shout deaf blind dumb       ,not believer shout deaf blind dumb,not shout believer deaf blind dumb,36,6,6,6,0.433860916,1,1,0,1,1,1
172,good things  grateful to Allah          ,good things  grateful to Allah,good things  grateful  Allah,26,5,5,4,0.577350269,1,1,0,0.8,0.8,0.8
173,forbidden dead meat blood flesh of swine  obedient transgress      ,forbidden dead meat blood flesh of swine  obedient transgress,flesh swine obedient forbidden blood meat dead of transgress,53,9,9,9,0.393919299,1,1,0,1,1,1
174,conceal revelation  fire          ,conceal revelation  fire,fire conceal revelation,40,3,3,3,0.280056017,1,1,0,1,1,1
175,error guidance torment bear fire        ,error guidance torment bear fire,error guidance torment bear fire,25,5,5,5,0.478091444,1,1,0,1,1,1
176,holy book dispute schism         ,holy book dispute schism,holy schism book dispute,29,4,4,4,0.534522484,1,1,0,1,1,1
177,righteousness ransom slaves suffering hardship periods of panic      ,righteousness ransom slaves suffering,ransom righteousness suffering slaves,108,8,4,4,0.377964473,0.755928946,0.755928946,0,0.5,1,0.666666667
178,law of equality retribution murder slave woman       ,law of equality retribution murder slave woman,retribution equality law woman of murder slave,75,7,7,7,0.463586325,1,1,0,1,1,1
179,law of equality save yourself          ,law of equality save yourself,equality law save of yourself,22,5,5,5,0.333333333,1,1,0,1,1,1
180,death bequest goods distribution         ,death bequest goods distribution,distribution bequest goods death,35,4,4,4,0.387298335,1,1,0,1,1,1
181,changes bequest guilty Allah knows         ,changes bequest guilty Allah knows,bequest changes Allah guilty knows,25,5,5,5,0.516397779,1,1,0,1,1,1
182,partiality wrong doing merciful         ,partiality wrong doing merciful,doing wrong merciful partiality,34,4,4,4,0.560112034,1,1,0,1,1,1
183,fast compulsory self restraint         ,fast compulsory self restraint,restraint fast self compulsory,23,4,4,4,0.267261242,1,1,0,1,1,1
184,fast ill journey         ,fast ill journey,journey ill fast,75,3,3,3,0.306186218,1,1,0,1,1,1
185,ramadhan Quran guidance judgment glorify       ,ramadhan Qur'an guidance judgment glorify,ramadhan judgment glorify guidance,104,5,5,4,0.301511345,1,0.894427191,0,0.8,0.8,0.8
186,I am close prayer believe right way        ,I am close prayer believe right way,close believe  prayer  right way,48,7,7,5,0.476731295,1,1,0,0.714285714,0.714285714,0.714285714
187,fast approatch wife garments limits Allah       ,fast approatch wife garments limits,approatch fast wife limits garments,120,6,5,5,0.352180363,0.912870929,0.912870929,0.1674,0.833333333,1,0.909090909
188,property vanities          ,property vanities,vanities property,35,2,2,2,0.474341649,1,1,0,1,1,1
189, moon time pilgrimage         ,moon time pilgrimage,moon time pilgrimage,58,3,3,3,0.166666667,1,1,0,1,1,1
190,fight Allah transgress         ,fight Allah transgress,transgress fight Allah,20,3,3,3,0.800640769,1,1,0,1,1,1
191,slay sacred mosque faith fight        ,slay sacred mosque faith fight,fight faith sacred slay mosque,56,5,5,5,0.664363839,1,1,0,1,1,1
192,Allah merciful forgiving cease        ,Allah merciful forgiving cease,forgiving cease Allah merciful,9,4,4,4,0.75,1,1,0,1,1,1
193,fight tumult oppression justice        ,fight tumult oppression justice,oppression fight tumult justice,35,4,4,4,0.645497224,1,1,0,1,1,1
194,prohibited months law of equality          ,prohibited months law of equality,prohibited equality law of months,46,5,5,5,0.464238345,1,1,0,1,1,1
195,cause of Allah spend substance do good        ,cause of Allah spend substance do good,good substance spend Allah of cause do,30,7,7,7,0.782623792,1,1,0,1,1,1
196,hajj umra animal destination sacrifies       ,hajj umra animal hajj umra,umra animal hajj,153,5,5,3,0.214176468,0.745355992,0.774596669,0.4053,0.6,0.6,0.6
197,perform hajj obscenity wickedne         ,hajj obscenity wickedness,hajj obscenity,61,4,3,2,0.261116484,0.577350269,0.707106781,0.243,0.5,0.666666667,0.571428571
198,Arafat celebrate praise Muzdalfa        ,pilgramage Arafat praises of Allah,Arafat,50,4,5,1,0.261116484,0.25,0.5,0.2543,0.25,0.2,0.222222222
199,forgiveness merciful          ,forgiveness merciful,forgiveness merciful,31,2,2,2,0.39223227,1,1,0,1,1,1
200,holy rites Hajj praises of Allah         ,holy rites Hajj praises of Allah,holy rites Allah of Hajj praises,53,6,6,6,0.395284708,1,1,0,1,1,1
201,good  world fire torment hereafter        ,good  world fire torment hereafter,good torment fire hereafter world,28,5,5,5,0.650791373,1,1,0,1,1,1
202,alloted  earned quick account        ,allotee earn Allah quick,quick,15,4,4,1,0.670820393,0.25,0.5,0,0.25,0.25,0.25
203,Allah praises appointed day         ,Allah praises appointed day,praises appointed Allah day,57,4,4,4,0.359210604,1,1,0,1,1,1
204, contentious           ,contentious,contentious,35,1,1,1,0.25,1,1,0,1,1,1
205,mischief crops cattle         ,mischief crops cattle,crops mischief cattle,25,3,3,3,0.596284794,1,1,0,1,1,1
206,pride hell fear sin        ,pride hell fear sin,fear sin pride hell,27,4,4,4,0.416025147,1,1,0,1,1,1
207,pleasure of Allah           ,pleasure of Allah,pleasure Allah of,26,3,3,3,0.588348405,1,1,0,1,1,1
208,adopt islam foot steps of  evil          ,entere into islam footsteps of evil,evil islam of,25,6,6,3,0.269679945,0.447213595,0.632455532,0,0.5,0.5,0.5
209,backslide clear signs Allah powerful wise        ,backslide clear signs Allah powerful wise,clear signs Allah wise powerful backslide,20,6,6,6,0.645497224,1,1,0,1,1,1
210,wait for torment           ,wait for Allah canopy clouds angels,for wait,33,3,6,2,0.171498585,0.316227766,0.707106781,0.16432,0.666666667,0.333333333,0.444444444
211,punishhment children of Israel clear sign strict        ,children israel punishment,children,32,7,3,1,0.396059017,0.471404521,0.40824829,0.2134,0.142857143,0.333333333,0.2
212,alluring faith righteous day of judgement        ,alluring faith righteous day of judgement,alluring righteous day of faith judgement,42,6,6,6,0.461880215,1,1,0,1,1,1
213,one religion Messenger book judge Allah guide       ,oneness of mankind Messenger book judge Allah guide,judge Allah Messenger book guide,81,7,8,5,0.341565026,0.714285714,0.845154255,0,0.714285714,0.625,0.666666667
214,heaven trials God's help         ,heaven trial suffering  messenger,heaven,64,4,4,1,0.25,0.25,0.5,0.1643,0.25,0.25,0.25
215,charity parents kindres orphans Allah knoweth       ,charity parents kindres orphans Allah knoweth,kindres parents Allah orphans charity knoweth,41,6,6,6,0.385758375,1,1,0,1,1,1
216,fight like dislike Allah knoweth        ,fight like dislike Allah knoweth,like fight Allah dislike knoweth,41,5,5,5,0.311399578,1,1,0,1,1,1
